fg3a_per_fga_pct,Yyy,vorp,ws_per_48,pos,player,team_id,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,Xxx,per,orb_pct,dws,season,usg_pct,link,ast_pct,obpm,fta_per_fga_pct,bpm,g,age,dbpm,pseudo,mp,trb_pct,ws
.357,,-0.5,-0.067,SF,Jawad Williams,CLE,-0.6,10.9,.396,1.2,12.4,0.6,,4.8,2.0,0.1,10/11,17.1,w/willija04.html,9.0,-5.3,.095,-7.2,26,27,-1.9,willija04,391,7.1,-0.5
.318,,1.0,.141,SG,Lou Williams,PHI,3.5,9.7,.540,1.4,7.7,0.7,,18.9,2.1,1.6,10/11,27.8,w/willilo02.html,24.1,2.9,.448,0.4,75,24,-2.5,willilo02,1747,4.9,5.1
.205,,0.3,.102,SF,Marvin Williams,ATL,2.3,9.2,.551,1.0,15.7,0.9,,13.5,4.4,1.7,10/11,17.2,w/willima02.html,7.6,-0.9,.324,-1.3,65,24,-0.4,willima02,1865,10.1,4.0
.334,,-0.1,.026,PG,Mo Williams,TOT,0.4,17.5,.503,1.5,8.7,0.4,,13.9,1.3,0.6,10/11,24.7,w/willima01.html,36.9,0.6,.242,-2.3,58,28,-2.9,willima01,1788,5.0,1.0
.294,,-0.2,-0.005,PG,Mo Williams,CLE,-0.4,17.2,.471,1.6,9.1,0.7,,13.8,1.6,0.3,10/11,26.0,w/willima01.html,42.8,0.2,.221,-2.7,36,28,-2.9,willima01,1065,5.2,-0.1
.403,,0.0,.073,PG,Mo Williams,LAC,0.8,18.0,.556,1.4,8.0,0.0,,14.0,1.0,0.3,10/11,22.7,w/willima01.html,28.2,1.0,.280,-1.8,22,28,-2.8,willima01,723,4.5,1.1
.421,,0.0,.109,SF,Reggie Williams,GSW,3.4,8.3,.585,0.9,12.2,0.1,,14.9,3.1,0.3,10/11,18.7,w/willire02.html,11.4,1.4,.234,-1.9,80,24,-3.2,willire02,1626,7.5,3.7
.551,,0.5,.089,PF,Shawne Williams,NYK,1.4,10.2,.558,1.5,15.6,2.8,,12.2,5.1,1.1,10/11,15.2,w/willish03.html,5.3,0.0,.127,-0.5,64,24,-0.4,willish03,1323,10.3,2.5
.000,,0.0,.102,PF,Shelden Williams,TOT,0.9,14.5,.522,1.3,22.3,2.1,,12.3,12.0,1.1,10/11,14.5,w/willish02.html,5.1,-2.4,.341,-1.9,59,27,0.5,willish02,911,17.3,1.9
.000,,-0.1,.078,PF,Shelden Williams,DEN,0.2,15.5,.492,1.3,23.4,2.3,,11.3,12.3,0.9,10/11,14.9,w/willish02.html,3.9,-3.3,.254,-2.5,42,27,0.7,willish02,713,18.0,1.2
.000,,0.1,.188,PF,Shelden Williams,NYK,0.6,10.4,.638,1.3,18.0,1.5,,15.9,10.9,0.1,10/11,13.0,w/willish02.html,9.5,0.8,.744,0.3,17,27,-0.4,willish02,198,14.4,0.8
.191,,-0.4,-0.096,SG,Terrence Williams,TOT,-0.8,21.0,.427,1.6,19.3,0.0,,6.9,1.6,0.2,10/11,24.7,w/willite01.html,22.0,-6.2,.183,-7.3,21,23,-1.1,willite01,290,10.3,-0.6
.164,,-0.2,-0.102,SG,Terrence Williams,NJN,-0.6,24.4,.433,1.3,19.5,0.0,,6.2,1.7,0.1,10/11,23.1,w/willite01.html,25.6,-6.0,.137,-6.7,10,23,-0.7,willite01,206,10.3,-0.4
.238,,-0.1,-0.080,SG,Terrence Williams,HOU,-0.2,14.6,.416,2.4,18.9,0.0,,8.6,1.3,0.1,10/11,28.8,w/willite01.html,13.2,-6.7,.262,-8.8,11,23,-2.1,willite01,84,10.1,-0.1
