pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
jonesja02,"$1,069,509","$4,320,000","$1,500,000","$1,500,000","$1,448,490",,"$2,900,000","$4,010,000","$2,400,000","$2,650,000","$620,046"
lavinza01,,,,,"$2,055,840",,,,,,
jeffrja01,"$6,883,800","$6,466,600","$1,475,106","$1,229,255",,,"$5,632,200","$6,049,400","$2,433,824","$5,215,000","$1,834,080"
stockda01,,,,,"$29,843",,,,,,
andersh01,,,,,,,,,"$1,035,000","$7,244,726","$873,699"
evansre01,"$5,080,000","$4,960,000","$1,622,617","$1,229,255","$1,768,653","$1,695,635","$4,320,000","$4,640,000","$1,100,000","$4,000,000","$880,000"
smithth01,,,,,,,,,,,"$620,046"
robingl01,,,,,,,,,,,"$12,071,250"
casspom01,"$1,254,480","$1,167,000","$2,277,306","$1,341,960","$1,063,384","$947,907",,,,,
barbole01,"$7,100,000","$6,600,000","$1,229,255","$7,600,000","$1,448,490",,"$5,600,000","$6,100,000","$930,600","$1,679,733","$870,000"
parkean01,"$2,855,700","$2,644,230",,"$2,250,000",,,"$4,350,000","$4,550,000",,"$4,150,000",
penneki01,,,,,,,,,,,
dienetr01,,"$1,740,000",,,,,"$1,500,000","$1,620,000","$398,762","$664,209",
crawfjo02,"$1,042,320",,"$1,198,680","$1,120,440",,"$2,162,419",,,,,
crawfjo01,,,,,,,,,,,
motiedo01,,,"$1,453,520",,"$1,483,920","$1,422,720",,,,,
hamiljo02,,,"$1,153,800","$1,073,286","$150,591","$1,169,880",,,,,
jonesma03,,,,,,,,,,,
adrieje01,"$342,666",,"$804,131","$270,427","$981,084","$916,099",,,,,
bazemke01,,,"$473,604",,"$2,000,000","$788,872",,,,,
billuch01,"$13,150,000","$12,100,000","$4,000,000","$2,000,032",,"$2,500,000","$10,000,000","$11,050,000","$5,909,800","$6,364,400","$5,455,200"
fosteje01,"$6,655,000","$6,077,500",,"$3,000,000",,,"$5,500,000","$5,500,000","$5,000,000","$5,500,000","$4,500,000"
johnsli01,,,,,,,"$283,953","$125,374","$719,373","$771,331","$620,046"
harrito02,,,"$1,524,480","$1,418,160","$2,380,594","$1,545,840",,,,,
holidjr01,"$1,627,920","$1,514,280","$2,674,852","$1,741,440","$9,904,495","$9,213,484",,,,,
morrida01,,,"$962,195","$473,604","$702,756","$1,046,269",,,,,
turkohe01,"$10,215,850","$9,000,000","$11,815,850","$11,015,850","$1,448,490","$12,000,000","$6,373,900","$6,864,200","$5,393,300","$5,883,600","$4,903,000"
ramospe01,,,,,,,,,"$660,000","$384,776","$600,000"
evansje01,"$473,604",,"$1,794,872","$762,195","$1,794,871","$1,660,257",,,,,
rosede01,"$5,546,160","$5,184,480","$16,402,500","$6,993,708","$18,862,875","$17,632,688",,"$4,822,800",,,
anderde01,,,,,,,"$1,219,590",,"$1,670,000","$400,000","$8,443,500"
reineja01,,,,,,,,,"$242,612","$396,905","$385,277"
hensojo01,,,"$1,823,280",,"$1,987,320","$1,905,360",,,,,
udohek01,"$3,065,040",,"$3,524,880","$3,294,960","$981,084","$4,469,548",,,,,
haislma01,,"$825,497",,,,,,,,,"$576,380"
stokeja01,,,,,"$725,000",,,,,,
dragigo01,"$1,972,000","$1,836,000","$7,500,000","$2,108,000","$7,500,000","$7,500,000",,"$1,700,000",,,
gallida01,"$3,304,560","$3,089,040","$9,439,000","$4,190,182","$10,854,850","$10,146,925",,"$2,873,520",,,
livinsh01,"$3,500,000","$296,695","$256,240","$3,500,000","$5,305,000","$1,272,279","$4,404,629","$370,000","$3,254,880","$3,481,920","$3,027,840"
jackja01,"$4,600,000","$4,500,000","$5,400,000","$5,000,000","$6,300,000","$6,300,000","$1,217,400","$2,002,623","$1,058,640","$1,137,960",
aldemfu01,,,,,"$3,000,000",,,,,,
powelka01,,,,,,,,,,,
smithru01,,,,,"$816,482",,,,,,
jerebjo01,"$762,195","$457,588","$4,500,000","$4,500,000","$4,500,000","$4,500,000",,,,,
mayooj01,"$4,456,200","$4,165,560","$4,020,000","$5,632,637","$8,000,000","$8,000,000",,"$3,875,040",,,
marshra01,,,,,,,,,"$398,762","$664,209",
howardw01,"$16,647,180","$15,202,590","$19,536,360","$18,091,770","$21,436,271","$20,513,178","$6,061,274","$13,758,000","$4,493,160","$4,806,720","$4,179,720"
johnsty01,,,,,"$507,336",,,,,,
